id_cliente,nombre_cliente,ingresos_ano_anterior,egresos_ano_anterior,valor_credito_mora,numero_cuotas_mora,edad
103016,Juan Gabriel Ortiz Ramírez,"$ 7,200,000","$ 3,683,558",0,0,19
102298,Juan Ortiz Rodríguez,35000000.00,"$ 24,535,327",0 COP,0,14
101138,Carlos Santiago Restrepo Jiménez,5000000,3745348,$ 0,0,69 años
102196,Paula Patricia López Ospina,50000000,26613021,6400000.00,2 cuotas,40 años
103166,Natalia Luis López Ortiz,7200000,5416458,$500000,4,73
102745,Natalia Moreno Morales,"$ 12,000,000","$ 6,931,624",0,0,71
103790,,,14743193.00,,0 cuotas,64
100271,Jorge Gonzalo Navarro Rojas,12000000,7206988 COP,$ 0,0,32 años
103051,Diego Ramírez Gutiérrez,25000000,"$ 11,785,894",0 COP,0 cuotas,74.5
100372,Natalia Ramírez Mejía,5000000,3273815,1200000,11,32.5
102266,,,"$ 29,063,644",$ 0,,47
101858,Alejandro Restrepo Díaz,"$ 25,000,000","$ 10,040,566",0.00,0,
101531,Ricardo Adriana Castro Torres,35000000,"$ 24,656,978",0,0,16 años
102001,"TREVIÑO MORALES, Miguel Angel",9500000,4937398.00,6400000 COP,2,25.5
102997,Gabriel Pérez Pérez,35000000.00,16889721.00,0.00,0,60
102251,"KIM, Jong Un",25000000,21245176,,10,60
102920,Tareck Zaidan El Aissami,2500000,,,0,14
101384,Mariana Ortiz García,25000000,13037465,6400000,6,74
100937,"ZAHHAR, Mahmoud Khaled","$ 3,500,000",$1506072,1200000.00,4,61
100995,Verónica Ramírez Jaramillo,$3500000,2175478.00,12000000 COP,1.0,47
101649,Mateo Ana González Martínez,25000000,12671841,0 COP,0,28
100574,Aleksandr Lukashenko,35000000,25582747,,10,47
100401,"AL-ASSAD, Bashar",35000000.00,30089274,0.00,0,21
100681,"SAAB MORAN, Alex Nain",50000000.00,26155383.00,,0.0,15
100008,"AL-ZAZA, Ziad","$ 9,500,000",5679982,0,0,63
100239,Verónica Mendoza Morales,3500000.00,2340860,0,0 cuotas,54.5
102080,Adriana Camilo Díaz Martínez,35000000.00,26311948 COP,0,0,28
103646,China Aerospace Science & Tech Corp,$5000000,,3500000,10,
102743,Camilo Chávez Morales,25000000 COP,13139015,$ 0,0,72
101877,,,"$ 4,567,514",0,0,26
101167,Andrés Luis Gutiérrez Romero,2500000.00,2043243,,6,75
103596,Camilo Silva González,7200000,5280960.00,0.00,0.0,75
102477,Ismael Zambada Garcia,,"$ 4,203,540",0 COP,,28.5
103397,Patricia Ana Pérez Restrepo,5000000,$3968436,0.00,0,69
100308,Santiago Lucía Gómez Sánchez,"$ 7,200,000",3682524,500000,5,40
103682,Lucía Silva Romero,2500000 COP,1144177,$ 0,0,71
103276,Mateo Felipe Gutiérrez Díaz,12000000 COP,7418363,0.00,0,40
103225,Mateo Gabriel Rojas Díaz,35000000 COP,"$ 26,020,000",6400000 COP,2.0,18
101432,Aleksandr Lukashenko,"$ 9,500,000",6208831,0.00,0,60 años
102783,Luis Claudia Moreno Navarro,5000000,3538787.00,3500000,4,
102984,Patricia Restrepo Moreno,"$ 7,200,000",4720226 COP,0,0,47
102129,Valentina Restrepo Gómez,7200000,5302064,1200000.00,,57
100286,,,5466045,"$ 500,000",2,74
102855,Ricardo Mateo Hernández Navarro,2500000 COP,1696757,6400000.00,11,62
101244,Camila Ricardo Navarro Gómez,$50000000,40375162,0 COP,0 cuotas,
102698,Mariana Sofía Jaramillo Díaz,7200000,"$ 5,903,506",0.00,0,48
102755,"SAAB MORAN, Alex Nain",12000000.00,6718257,1200000,12,16
102503,Bashar Al Assad,7200000,"$ 5,878,408",,0 cuotas,47
103656,Daniela Gabriel Torres Gómez,12000000,$6591675,0.00,0,42
103282,Ana Diana Ospina Ramírez,"$ 12,000,000","$ 8,813,241",0.00,0.0,49
103674,Mariana Adriana Restrepo Valencia,2500000,$1104934,3500000,7,
100317,Camilo Gabriel Rojas Valencia,18000000,9470443,$ 0,0,74
102893,Andrés Suárez Torres,7200000,3597698,500000 COP,10,14
101953,Sofía Daniela Rodríguez Suárez,"$ 50,000,000","$ 44,093,368",3500000.00,2.0,41
100898,Mateo Juliana Ortiz Mejía,"$ 7,200,000",3153587.00,3500000.00,11,42
103714,Esteban Diego Ramírez Rodríguez,18000000,13153692.00,6400000,8.0,76
101340,Diego Chávez Suárez,"$ 5,000,000",3088717 COP,12000000,8 cuotas,71
100079,Mateo Pérez Jaramillo,3500000,"$ 1,888,124",0 COP,0,38 años
102544,,,4157369,$ 0,0,38
103185,Diego Natalia Díaz Sánchez,"$ 18,000,000","$ 11,597,200",0 COP,0,30
102425,Daniela Castro García,7200000.00,3982341,0 COP,,16
102709,Diana María Moreno Restrepo,9500000,"$ 5,256,459",,0,40
102897,Verónica Romero Ospina,35000000 COP,$24443837,3500000,3,35
