id_cliente,nombre_cliente,producto,cupo_preaprobado,fecha_solicitud
103016,Juan Gabriel Ortiz Ramírez,Harina P.A.N. Amarilla,"$ 35,000,000",2024-05-18
102298,Juan Ortiz Rodríguez,Avena Quaker,"$ 35,000,000",2024-05-14
101138,Carlos Santiago Restrepo Jiménez,Harina Pancho,4500000 COP,2024-05-11
102196,Paula Patricia López Ospina,Harina P.A.N. Amarilla,10000000,10.05.2024
103166,Natalia Luis López Ortiz,Avena Quaker sin Gluten,$2500000,2024-05-28
102745,Natalia Moreno Morales,Avena Quaker sin Gluten,35000000.00,05-20-2024
103790,,Dogourmet,,11.05.2024
100271,Jorge Gonzalo Navarro Rojas,Avena Quaker,$20000000,2024-05-11
103051,Diego Ramírez Gutiérrez,Avena en Hojuelas,15000000,19/05/2024
100372,Natalia Ramírez Mejía,Harina P.A.N. Blanca,2500000,06.05.2024
102266,,Harina P.A.N. Blanca,"$ 35,000,000",2024/05/22 00:00:00
101858,Alejandro Restrepo Díaz,Harina P.A.N. Blanca,5000000 COP,2024-05-25
101531,Ricardo Adriana Castro Torres,Harina Pancho,15000000 COP,30/05/2024
102001,"TREVIÑO MORALES, Miguel Angel",Harina P.A.N. Blanca,2500000 COP,2024/05/29 00:00:00
102997,Gabriel Pérez Pérez,Unikat,2500000 COP,18.05.2024
102251,"KIM, Jong Un",Harina Pancho,,20/05/2024
102920,Tareck Zaidan El Aissami,,,21/05/2024
101384,Mariana Ortiz García,Harina P.A.N. Blanca,20000000.00,2024-05-19
100937,"ZAHHAR, Mahmoud Khaled",Harina P.A.N. Amarilla,$1500000,03/05/2024
100995,Verónica Ramírez Jaramillo,Unikat,10000000,05-04-2024
101649,Mateo Ana González Martínez,Arena Unikat,$7500000,2024-05-04
100574,Aleksandr Lukashenko,Donkat,,2024/05/08 00:00:00
100401,"AL-ASSAD, Bashar",Harina P.A.N. Blanca,35000000 COP,2024-05-27
100681,"SAAB MORAN, Alex Nain",Donkat,,28/05/2024
100008,"AL-ZAZA, Ziad",Donkat,5000000 COP,26/05/2024
100239,Verónica Mendoza Morales,Avena Molida,15000000,2024-05-11
102080,Adriana Camilo Díaz Martínez,Harina P.A.N. Amarilla,3000000,05-03-2024
103646,China Aerospace Science & Tech Corp,,4500000.00,05-02-2024
102743,Camilo Chávez Morales,Arena Unikat,7500000,2024-05-13
101877,,Avena Molida,20000000 COP,03/05/2024
101167,Andrés Luis Gutiérrez Romero,Harina Pancho,,2024-05-23
103596,Camilo Silva González,Harina Pancho,5000000,04.05.2024
102477,Ismael Zambada Garcia,Avena Quaker,7500000,
103397,Patricia Ana Pérez Restrepo,Avena Quaker sin Gluten,1500000,2024-05-25
100308,Santiago Lucía Gómez Sánchez,Arena Unikat,3000000.00,27/05/2024
103682,Lucía Silva Romero,Harina P.A.N. Blanca,7500000,05-08-2024
103276,Mateo Felipe Gutiérrez Díaz,Harina Pancho,10000000,2024/05/24 00:00:00
103225,Mateo Gabriel Rojas Díaz,Arena Unikat,2500000,2024/05/02 00:00:00
101432,Aleksandr Lukashenko,Avena Quaker sin Gluten,4500000,2024-05-22
102783,Luis Claudia Moreno Navarro,Avena en Hojuelas,7500000 COP,2024/05/04 00:00:00
102984,Patricia Restrepo Moreno,Donkan,10000000.00,2024-05-17
102129,Valentina Restrepo Gómez,Avena en Hojuelas,"$ 35,000,000",
100286,,Dogourmet,7500000.00,22.05.2024
102855,Ricardo Mateo Hernández Navarro,Avena Quaker sin Gluten,15000000,05-14-2024
101244,Camila Ricardo Navarro Gómez,Avena Quaker sin Gluten,4500000,05-19-2024
102698,Mariana Sofía Jaramillo Díaz,Harina P.A.N. Amarilla,5000000.00,05-21-2024
102755,"SAAB MORAN, Alex Nain",Avena Quaker sin Gluten,$4500000,2024-05-05
102503,Bashar Al Assad,Harina P.A.N. Amarilla,,05-21-2024
103656,Daniela Gabriel Torres Gómez,Harina P.A.N. Amarilla,10000000,2024/05/26 00:00:00
103282,Ana Diana Ospina Ramírez,Unikat,35000000.00,05-18-2024
103674,Mariana Adriana Restrepo Valencia,Harina Pancho,12500000,2024-05-25
100317,Camilo Gabriel Rojas Valencia,Arena Unikat,5000000,2024-05-11
102893,Andrés Suárez Torres,Avena Quaker,2500000,11/05/2024
101953,Sofía Daniela Rodríguez Suárez,Harina P.A.N. Blanca,7500000,2024/05/13 00:00:00
100898,Mateo Juliana Ortiz Mejía,Avena Quaker sin Gluten,10000000,2024-05-13
103714,Esteban Diego Ramírez Rodríguez,Donkat,20000000.00,2024-05-01
101340,Diego Chávez Suárez,Avena Quaker,12500000,2024/05/25 00:00:00
100079,Mateo Pérez Jaramillo,Arena Unikat,15000000,2024-05-31
102544,,Harina Pancho,4500000,2024-05-22
103185,Diego Natalia Díaz Sánchez,Harina Pancho,5000000,2024/05/01 00:00:00
102425,Daniela Castro García,Arena Unikat,35000000,
102709,Diana María Moreno Restrepo,Donkan,,2024-05-11
102897,Verónica Romero Ospina,Harina Pancho,10000000,2024/05/17 00:00:00
101320,Juliana Diego Restrepo Rojas,Avena Quaker,2500000,2024-05-15
100744,Daniela Mejía Hernández,Unikat,4500000,2024-05-09
100988,Claudia Camilo Castro Pérez,,10000000,2024-05-25
100907,Verónica Juan Pérez Mendoza,Donkat,4500000,
101109,Paula Alejandro Moreno Ospina,Avena Quaker sin Gluten,5000000,2024-05-24
103121,"AL-ASSAD, Bashar",Arena Unikat,3000000,24/05/2024
100931,Camilo Laura Castro Mendoza,,3000000,23/05/2024
103574,Ana Andrés Mejía González,Harina P.A.N. Blanca,20000000,16/05/2024
101034,Mahmoud Khaled Zahhar,Unikat,$2500000,13/05/2024
101016,,Harina P.A.N. Amarilla,"$ 15,000,000",05-20-2024
103523,Camilo Valencia Silva,Avena Molida,10000000,
102705,Laura Sofía Morales Chávez,Harina P.A.N. Amarilla,3000000,2024-05-18
102823,HEZBOLLAH,Avena Molida,12500000,2024-05-08
103226,Diego Ortiz Chávez,Dogourmet,"$ 20,000,000",
102652,"SAAB MORAN, Alex Nain",Harina Pancho,$5000000,2024-05-03
101115,Fernando Diego Silva Navarro,Avena en Hojuelas,,05-03-2024
102761,Gonzalo Juan Pérez Ortiz,Avena Molida,20000000 COP,05-25-2024
103752,María Camila Jaramillo Valencia,Avena Quaker sin Gluten,3000000 COP,05-14-2024
102744,José Mateo Jiménez Hernández,Harina P.A.N. Amarilla,3000000,23/05/2024
101288,Esteban María Ospina Pérez,Avena Quaker sin Gluten,7500000,25/05/2024
